source,target1,target2,method,category,type,race,gender,path,Unnamed: 9,zip_path,local_path
id00761,-,-,real,A,RealVideo-RealAudio,African,men,00072.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00761,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.mp4
id00781,-,-,real,A,RealVideo-RealAudio,African,men,00092.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00781,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4
id00830,-,-,real,A,RealVideo-RealAudio,African,men,00143.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00830,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4
id00944,-,-,real,A,RealVideo-RealAudio,African,men,00135.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00944,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4
id00987,-,-,real,A,RealVideo-RealAudio,African,men,00160.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00987,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4
id01036,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01036,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4
id01076,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01076,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01076/00005.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01076/00005.mp4
id01170,-,-,real,A,RealVideo-RealAudio,African,men,00021.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01170,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.mp4
id01171,-,-,real,A,RealVideo-RealAudio,African,men,00053.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01171,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01171/00053.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01171/00053.mp4
id01179,-,-,real,A,RealVideo-RealAudio,African,men,00160.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01179,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01179/00160.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01179/00160.mp4
id01207,-,-,real,A,RealVideo-RealAudio,African,men,00320.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01207,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01207/00320.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01207/00320.mp4
id01236,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01236,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01236/00005.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01236/00005.mp4
id01392,-,-,real,A,RealVideo-RealAudio,African,men,00167.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01392,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.mp4
id01452,-,-,real,A,RealVideo-RealAudio,African,men,00001.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01452,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01452/00001.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01452/00001.mp4
id01521,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01521,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01521/00109.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01521/00109.mp4
id01528,-,-,real,A,RealVideo-RealAudio,African,men,00017.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01528,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01528/00017.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01528/00017.mp4
id01530,-,-,real,A,RealVideo-RealAudio,African,men,00002.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01530,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01530/00002.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01530/00002.mp4
id01544,-,-,real,A,RealVideo-RealAudio,African,men,00044.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01544,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01544/00044.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01544/00044.mp4
id01597,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01597,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01597/00005.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01597/00005.mp4
id01598,-,-,real,A,RealVideo-RealAudio,African,men,00044.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01598,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01598/00044.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01598/00044.mp4
id01610,-,-,real,A,RealVideo-RealAudio,African,men,00090.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01610,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01610/00090.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01610/00090.mp4
id01637,-,-,real,A,RealVideo-RealAudio,African,men,00002.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01637,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01637/00002.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01637/00002.mp4
id01691,-,-,real,A,RealVideo-RealAudio,African,men,00045.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01691,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01691/00045.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01691/00045.mp4
id01717,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01717,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01717/00005.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01717/00005.mp4
id01779,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01779,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01779/00010.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01779/00010.mp4
id01835,-,-,real,A,RealVideo-RealAudio,African,men,00130.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01835,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01835/00130.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01835/00130.mp4
id01856,-,-,real,A,RealVideo-RealAudio,African,men,00006.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01856,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01856/00006.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01856/00006.mp4
id01920,-,-,real,A,RealVideo-RealAudio,African,men,00099.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01920,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01920/00099.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01920/00099.mp4
id01933,-,-,real,A,RealVideo-RealAudio,African,men,00028.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01933,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01933/00028.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01933/00028.mp4
id01972,-,-,real,A,RealVideo-RealAudio,African,men,00078.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01972,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01972/00078.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01972/00078.mp4
id01995,-,-,real,A,RealVideo-RealAudio,African,men,00071.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id01995,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01995/00071.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01995/00071.mp4
id02005,-,-,real,A,RealVideo-RealAudio,African,men,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02005,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02005/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02005/00052.mp4
id02040,-,-,real,A,RealVideo-RealAudio,African,men,00476.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02040,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02040/00476.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02040/00476.mp4
id02051,-,-,real,A,RealVideo-RealAudio,African,men,00015.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02051,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02051/00015.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02051/00015.mp4
id02268,-,-,real,A,RealVideo-RealAudio,African,men,00036.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02268,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02268/00036.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02268/00036.mp4
id02296,-,-,real,A,RealVideo-RealAudio,African,men,00019.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02296,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02296/00019.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02296/00019.mp4
id02316,-,-,real,A,RealVideo-RealAudio,African,men,00094.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02316,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02316/00094.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02316/00094.mp4
id02342,-,-,real,A,RealVideo-RealAudio,African,men,00191.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02342,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02342/00191.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02342/00191.mp4
id02494,-,-,real,A,RealVideo-RealAudio,African,men,00050.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id02494,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02494/00050.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02494/00050.mp4
id04727,-,-,real,A,RealVideo-RealAudio,African,men,00007.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id04727,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id04727/00007.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id04727/00007.mp4
id00220,-,-,real,A,RealVideo-RealAudio,African,women,00027.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00220,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00220/00027.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00220/00027.mp4
id00359,-,-,real,A,RealVideo-RealAudio,African,women,00053.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00359,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00359/00053.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00359/00053.mp4
id00371,-,-,real,A,RealVideo-RealAudio,African,women,00099.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00371,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00371/00099.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00371/00099.mp4
id00460,-,-,real,A,RealVideo-RealAudio,African,women,00005.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00460,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00460/00005.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00460/00005.mp4
id00568,-,-,real,A,RealVideo-RealAudio,African,women,00384.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00568,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00568/00384.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00568/00384.mp4
id00577,-,-,real,A,RealVideo-RealAudio,African,women,00010.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00577,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00577/00010.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00577/00010.mp4
id00592,-,-,real,A,RealVideo-RealAudio,African,women,00017.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00592,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00592/00017.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00592/00017.mp4
id00707,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00707,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00707/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00707/00052.mp4
id00829,-,-,real,A,RealVideo-RealAudio,African,women,00271.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00829,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00829/00271.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00829/00271.mp4
id00832,-,-,real,A,RealVideo-RealAudio,African,women,00078.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id00832,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00832/00078.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00832/00078.mp4
id01178,-,-,real,A,RealVideo-RealAudio,African,women,00028.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01178,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01178/00028.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01178/00028.mp4
id01532,-,-,real,A,RealVideo-RealAudio,African,women,00065.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01532,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01532/00065.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01532/00065.mp4
id01661,-,-,real,A,RealVideo-RealAudio,African,women,00059.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01661,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01661/00059.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01661/00059.mp4
id01783,-,-,real,A,RealVideo-RealAudio,African,women,00015.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01783,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01783/00015.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01783/00015.mp4
id01838,-,-,real,A,RealVideo-RealAudio,African,women,00126.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01838,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01838/00126.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01838/00126.mp4
id01907,-,-,real,A,RealVideo-RealAudio,African,women,00148.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id01907,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01907/00148.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01907/00148.mp4
id02071,-,-,real,A,RealVideo-RealAudio,African,women,00195.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02071,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02071/00195.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02071/00195.mp4
id02301,-,-,real,A,RealVideo-RealAudio,African,women,00092.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02301,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02301/00092.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02301/00092.mp4
id02508,-,-,real,A,RealVideo-RealAudio,African,women,00083.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02508,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02508/00083.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02508/00083.mp4
id02586,-,-,real,A,RealVideo-RealAudio,African,women,00042.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02586,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02586/00042.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02586/00042.mp4
id02617,-,-,real,A,RealVideo-RealAudio,African,women,00028.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02617,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02617/00028.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02617/00028.mp4
id02721,-,-,real,A,RealVideo-RealAudio,African,women,00424.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02721,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02721/00424.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02721/00424.mp4
id02808,-,-,real,A,RealVideo-RealAudio,African,women,00056.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02808,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02808/00056.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02808/00056.mp4
id02824,-,-,real,A,RealVideo-RealAudio,African,women,00130.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02824,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02824/00130.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02824/00130.mp4
id02838,-,-,real,A,RealVideo-RealAudio,African,women,00080.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02838,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02838/00080.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02838/00080.mp4
id02948,-,-,real,A,RealVideo-RealAudio,African,women,00298.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id02948,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02948/00298.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02948/00298.mp4
id03103,-,-,real,A,RealVideo-RealAudio,African,women,00130.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03103,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03103/00130.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03103/00130.mp4
id03569,-,-,real,A,RealVideo-RealAudio,African,women,00065.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03569,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03569/00065.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03569/00065.mp4
id03656,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03656,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03656/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03656/00052.mp4
id03658,-,-,real,A,RealVideo-RealAudio,African,women,00077.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03658,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03658/00077.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03658/00077.mp4
id03713,-,-,real,A,RealVideo-RealAudio,African,women,00249.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03713,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03713/00249.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03713/00249.mp4
id03747,-,-,real,A,RealVideo-RealAudio,African,women,00273.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id03747,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03747/00273.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03747/00273.mp4
id04055,-,-,real,A,RealVideo-RealAudio,African,women,00001.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04055,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04055/00001.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04055/00001.mp4
id04245,-,-,real,A,RealVideo-RealAudio,African,women,00072.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04245,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04245/00072.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04245/00072.mp4
id04374,-,-,real,A,RealVideo-RealAudio,African,women,00032.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04374,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04374/00032.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04374/00032.mp4
id04376,-,-,real,A,RealVideo-RealAudio,African,women,00181.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04376,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04376/00181.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04376/00181.mp4
id04437,-,-,real,A,RealVideo-RealAudio,African,women,00002.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04437,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04437/00002.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04437/00002.mp4
id04540,-,-,real,A,RealVideo-RealAudio,African,women,00078.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04540,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04540/00078.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04540/00078.mp4
id04547,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/women/id04547,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04547/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04547/00052.mp4
